associated_device_name,band,signal_db,hour,date,swarm_name,client_count,cpu_utilization,mem_usage,tx_power,utilization
AP-CCOM18,5.0,-87.0,9.0,2025-04-02,AP-CCOM18,7.157545605306799,9.690713101160862,76.0005730486936,15.0,1.6326699834162521
AP-ICTAICP23,2.4,-50.0,9.0,2025-04-02,AP-ICTAICP23,1.2379826635145783,1.574468085106383,58.781480927636665,,
AP-CIEN10,5.0,-72.0,13.0,2025-04-02,AP-CIEN10,13.35933806146572,11.19070133963751,68.5865004026106,15.049645390070921,6.108747044917258
AP-BIBHUM07,5.0,-76.0,9.0,2025-04-02,AP-BIBHUM07,5.492981007431874,3.124690338563171,58.66555468948837,,
AP-MED60,2.4,-57.0,9.0,2025-04-02,AP-MED60,4.520882584712372,4.104806934594168,57.76101369730806,,
AP-LLET64,5.0,-56.0,9.0,2025-04-02,AP-LLET64,3.465721040189125,7.598896769109535,70.20942310765834,15.545311268715524,2.4286840031520884
AP-CIEN10,5.0,-82.0,13.0,2025-04-02,AP-CIEN10,13.35933806146572,11.19070133963751,68.5865004026106,15.049645390070921,6.108747044917258
AP-DRET02,5.0,-76.0,9.0,2025-04-02,AP-DRET02,13.303388494877856,12.479905437352246,76.66042954593891,16.016548463356973,2.178092986603625
AP-SAF09,2.4,-63.0,9.0,2025-04-02,AP-SAF09,4.166272655634358,6.334121355397951,69.83521709897906,20.49330181245075,2.326241134751773
AP-LLET13,5.0,-35.0,14.0,2025-04-02,AP-LLET13,3.541431261770245,5.552730696798493,67.02572631105147,15.448210922787194,2.8342749529190208
AP-CREAF05,5.0,-63.0,9.0,2025-04-02,AP-CREAF05,3.2537431048069347,3.0031520882584712,57.49458023614742,,
AP-ICTAICP21,2.4,-66.0,9.0,2025-04-02,AP-ICTAICP21,2.016548463356974,2.103230890464933,60.14579735700765,,
AP-EST03,2.4,-53.0,9.0,2025-04-02,AP-EST03,8.933018124507486,3.976359338061466,58.41640315203282,,
AP-VET34,5.0,-76.0,9.0,2025-04-02,AP-VET34,5.8132387706855795,3.8037825059101653,58.01565006575542,,
AP-CIEN14,5.0,-74.0,9.0,2025-04-02,AP-CIEN14,4.774625689519307,10.331757289204099,72.50991557409637,17.23798266351458,2.771473601260835
AP-IBB01,5.0,-67.0,9.0,2025-04-02,AP-IBB01,3.7825059101654848,5.732072498029945,67.75718184957891,15.771473601260835,2.0598896769109536
AP-CIEN62,5.0,-71.0,9.0,2025-04-02,AP-CIEN62,4.314420803782506,10.156028368794326,70.50163227925907,20.29787234042553,6.331757289204098
